Key,File,Type,UsedInMainMenu,NoTranslate,english
FotDresourceWoodStick,Items,Resource,,,"Stock"
FotDresourceWoodStickDesc,Items,Resource,,,"Ein einfacher Stock\nJedes Werkzeug sollte über einen soliden Griff verfügen"
FotDresourceSharpStone,Items,Resource,,,"Scharfer Stein"
FotDresourceSharpStoneDesc,Items,Resource,,,"Ein sehr scharfer Stein\nAutsch... verdammt schonwieder geschnitten"
FotDresourceFiberString,Items,Resource,,,"Faser Seil"
FotDresourceFiberStringDesc,Items,Resource,,,"Ein starkes Pflanzenfaser Seil\nIch denke das wird von nutzen sein..."
FotDresourceSharpBone,Items,Resource,,,"Scharfer Knochen"
FotDresourceSharpBoneDesc,Items,Resource,,,"Ein scharfer Knochen\nEr wird noch nützlich sein"
FotDresourceFireWood,Items,Resource,,,"Feuerholz"
FotDresourceFireWoodDesc,Items,Resource,,,"Feuerholz\nWohl einer der besten Brennstoffe für den Anfang"
FotDammoArrowBone,Items,Resource,,,"Knochenpfeil"
FotDammoArrowBoneDesc,Items,Resource,,,"Die Knochenpfeile sind mein erstes upgrade"
FotDrepairKitTier0,Items,Resource,,,"Einfaches Reperaturset"
FotDrepairKitTier0Desc,Items,Resource,,,"Mit dem Set kann ich meine Werkzeuge und Waffen reparieren.\nZumindest vorläufig..."
FotDrepairKitTier0Armor,Items,Resource,,,"Einfaches Rüstungs Reperaturset"
FotDrepairKitTier0ArmorDesc,Items,Resource,,,"Mit dem Set kann ich meine Rüstung reparieren.\nZumindest vorläufig..."
FotDrepairKitTier1Armor,Items,Resource,,,"Rüstungs Reperaturset"
FotDrepairKitTier1ArmorDesc,Items,Resource,,,"Mit dem Set kann ich meine Rüstung reparieren."
FotDrepairKitTier2Armor,Items,Resource,,,"Gutes Rüstungs Reperaturset"
FotDrepairKitTier2ArmorDesc,Items,Resource,,,"Mit dem Set kann ich meine Rüstung reparieren."
FotDrepairKitTier1Tools,Items,Resource,,,"Werkzeug Reperaturset"
FotDrepairKitTier1ToolsDesc,Items,Resource,,,"Mit dem Set kann ich mein Werkzeug reparieren."
FotDrepairKitTier2Tools,Items,Resource,,,"Gutes Werkzeug Reperaturset"
FotDrepairKitTier2ToolsDesc,Items,Resource,,,"Mit dem Set kann ich mein Werkzeug reparieren."
FotDrepairKitTier1Weapons,Items,Resource,,,"Waffen Reperaturset"
FotDrepairKitTier1WeaponsDesc,Items,Resource,,,"Mit dem Set kann ich meine Waffen reparieren."
FotDrepairKitTier2Weapons,Items,Resource,,,"Gutes Waffen Reperaturset"
FotDrepairKitTier2WeaponsDesc,Items,Resource,,,"Mit dem Set kann ich meine Waffen reparieren."
FotDrepairKitTier1Cars,Items,Resource,,,"Fahrzeug Reperaturset"
FotDrepairKitTier1CarsDesc,Items,Resource,,,"Mit dem Set kann ich Farhrzeuge reparieren."
FotDrepairKitTier2Cars,Items,Resource,,,"Gutes Fahrzeug Reperaturset"
FotDrepairKitTier2CarsDesc,Items,Resource,,,"Mit dem Set kann ich Fahrzeuge reparieren."
FotDForgeT1,Items,Resource,,,"Schmiedeofen"
FotDForgeT1Desc,Items,Resource,,,"Mit dem Schmiedeofen stehen mir nun neue möglichkeiten zur Verfügung."
FotDtoolForgeBrickForm,Items,Resource,,,"Ziegel Form"
FotDtoolForgeBrickFormDesc,Items,Resource,,,"Damit kann ich Ziegel erstellen"
FotDresourceIronOre,Items,Resource,,,"Eisen Erz"
FotDresourceIronOreDesc,Items,Resource,,,"Damit kann ich Eisenbarren schmelzen"
FotDWorkstation_Tier_0,Items,Resource,,,"Überlebens Werkbank"
FotDWorkstationTier0Desc,Items,Resource,,,"Die Überlebenswerkbank mein erster Schritt auf dem langen Weg"
FotDDWoodChest,Items,Resource,,,"Holz Doppeltruhe"
FotDDWoodChestDesc,Items,Resource,,,"Die Holz Doppeltruhe ist mein erstes Lagerupgrade"
FotDWoodChest,Items,Resource,,,"Holztruhe"
FotDWoodChestDesc,Items,Resource,,,"Die Holztruhe ist meine erste möglichkeit Sachen zu Lagern"
FotDIronChest,Items,Resource,,,"Eisentruhe"
FotDIronChestDesc,Items,Resource,,,"Die Eisentruhe bietet mir endlich mehr Platz!"
